phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,20983.39608303857,20983.39608303857,20983.39608303857,20983.39608303857,3836,1918,3836,1918,3836,1918,3836,1918,153440.0,153440.0,80.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,13071.367493528016,13071.367493528016,13071.367493528016,13071.367493528016,3836,1918,0,0,3836,1918,7672,3836,153440.0,153440.0,80.0,False,True,3836,1918,0,0,3836,1918,0.1,101826.86580787128,13.436221763563282,13.436221763563282,13.436221763563282,False,-588.8581424702747,0.1,True
trial,2,2,1,20919.593302957073,20919.593302957073,13071.367493528016,13071.367493528016,3836,1918,0,0,3836,1918,11508,5754,153440.0,153440.0,80.0,False,True,3836,1918,0,0,3836,1918,0.2,48203.54503157632,-0.8896881087440806,-0.8896881087440806,-0.8896881087440806,False,-8821.322587426652,0.2,False
trial,3,3,3,9122.216222485533,9122.216222485533,9122.216222485533,9122.216222485533,3836,1918,0,0,3836,1918,15344,7672,153440.0,153440.0,80.0,False,True,3836,1918,0,0,3836,1918,0.1,48203.54503157632,0.4509922248396727,0.4509922248396727,0.4509922248396727,False,-8756.583935446786,0.1,True
trial,4,4,3,26245.557924263587,26245.557924263587,9122.216222485533,9122.216222485533,3836,1918,0,0,3836,1918,19180,9590,153440.0,153440.0,80.0,False,True,3836,1918,0,0,3836,1918,0.2,94458.88203405554,-2.7284233710969925,-2.7284233710969925,-2.7284233710969925,False,-6275.910800050589,0.2,False
trial,5,5,3,15369.6588110122,15369.6588110122,9122.216222485533,9122.216222485533,3836,1918,0,0,3836,1918,23016,11508,153440.0,153440.0,80.0,False,True,3836,1918,0,0,3836,1918,0.1,94458.88203405554,-1.0160720050379433,-1.0160720050379433,-1.0160720050379433,False,-6148.621906272644,0.1,False
trial,6,6,6,7776.395072169861,7776.395072169861,7776.395072169861,7776.395072169861,3836,1918,0,0,3836,1918,26852,13426,163440.0,163440.0,85.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,103193.02736028565,0.37731514212602585,0.37731514212602585,0.37731514212602585,False,-6075.9246027289455,0.05,True
trial,7,7,6,15340.216403252245,15340.216403252245,7776.395072169861,7776.395072169861,3836,1918,0,0,3836,1918,30688,15344,163440.0,163440.0,85.21376433785193,False,True,3836,1918,0,0,3836,1918,0.1,98966.58828252969,-1.2868570411169824,-1.2868570411169824,-1.2868570411169824,False,-5877.747946669385,0.1,False
trial,8,8,8,7686.088801245192,7686.088801245192,7686.088801245192,7686.088801245192,3836,1918,0,0,3836,1918,34524,17262,163440.0,163440.0,85.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,98966.58828252969,0.015417149835661472,0.015417149835661472,0.015417149835661472,False,-5857.520481235834,0.05,True
trial,9,9,9,5323.369679549119,5323.369679549119,5323.369679549119,5323.369679549119,3836,1918,0,0,3836,1918,38360,19180,163440.0,163440.0,85.21376433785193,False,True,3836,1918,0,0,3836,1918,0.025,109220.38287769488,0.515750050203043,0.515750050203043,0.515750050203043,False,-4581.132121588562,0.025,True
