iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,76720,959000,882280,False,76720
1,1,16.872255976702164,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,76720,959000,882280,False,76720
2,2,-1.12680792133396,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,76720,959000,882280,False,76720
3,3,-0.10559352991480134,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,76720,959000,882280,False,76720
4,4,0.8350052632750692,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,76720,959000,882280,False,76720
5,5,-3.863472315690777,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,86720,959000,872280,False,86720
6,6,-0.8039227437896302,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,86720,959000,872280,False,86720
7,7,0.5408988805664646,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,86720,959000,872280,False,86720
8,8,-0.8413865239929934,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,86720,959000,872280,False,86720
9,9,0.9291918720609922,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,86720,959000,872280,False,86720
10,10,-5.699470956649979,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,96720,959000,862280,False,96720
11,11,-1.6787066381485536,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,96720,959000,862280,False,96720
12,12,0.39109399735625827,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,96720,959000,862280,False,96720
13,13,-7.793512430818392,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,96720,959000,862280,False,96720
14,14,-0.15383645640321597,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,96720,959000,862280,False,96720
15,15,0.8675966550412927,0.0125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,106720,959000,852280,False,106720
16,16,-7.060352830211348,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,106720,959000,852280,False,106720
17,17,-0.38878269636978513,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,106720,959000,852280,False,106720
18,18,0.954009885173981,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,106720,959000,852280,False,106720
19,19,-6.864647207046301,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,106720,959000,852280,False,106720
20,20,-1.235749662869557,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,116720,959000,842280,False,116720
21,21,0.7851310587802371,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,116720,959000,842280,False,116720
22,22,-2.3759468865669806,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,116720,959000,842280,False,116720
23,23,0.34961131065160106,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,116720,959000,842280,False,116720
24,24,-2.3423954134741494,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,116720,959000,842280,False,116720
25,25,0.45581918808529015,0.003125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,126720,959000,832280,False,126720
26,26,-1.5246009145594268,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,126720,959000,832280,False,126720
27,27,0.515717432402775,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,126720,959000,832280,False,126720
28,28,-1.7505275908236901,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,126720,959000,832280,False,126720
