phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,34833.92750671835,754467.3224514079,34833.92750671835,754467.3224514079,334,167,334,167,334,167,334,167,334000.0,334000.0,2000.0,True,True,334,167,334,167,334,167,0.1,,,,,False,,,True
trial,1,1,1,24762.567551738997,374224.65507371863,24762.567551738997,374224.65507371863,334,167,0,0,334,167,668,334,334000.0,668000.0,2000.0,True,True,334,167,334,167,334,167,0.1,60158.026094636734,19.9365052454945,19.9365052454945,752.6997313791934,False,-505.1717856746935,0.1,True
trial,2,2,1,111251.6341131045,508844.9014143329,79507.25295740024,374224.65507371863,718,359,384,192,718,359,1386,693,718000.0,1386000.0,2000.0,True,True,684,342,384,192,718,359,0.2,288066.2374482983,-0.5696748830939576,-0.5696748830939576,-2.415853461436546,False,-55723.68046717728,0.2,False
trial,3,3,3,38983.062235509016,209230.40909011147,38983.062235509016,209230.40909011147,718,359,0,0,718,359,2104,1052,718000.0,2104000.0,2000.0,True,True,684,342,384,192,718,359,0.1,288066.2374482983,0.7664597335625858,0.7664597335625858,3.120640870630407,False,-52871.91087460068,0.1,True
trial,4,4,3,55422.259352417605,252724.13774722416,51944.26420230597,209230.40909011147,834,417,116,58,834,417,2938,1469,834000.0,2938000.0,2000.0,True,True,478,239,116,58,834,417,0.2,636301.5504668703,-0.1081841787978392,-0.1081841787978392,-1.352886681706485,False,-32148.833487111562,0.2,False
trial,5,5,5,37936.25487042299,159766.67622185266,37936.25487042299,159766.67622185266,834,417,0,0,834,417,3772,1886,834000.0,3772000.0,2000.0,True,True,478,239,116,58,834,417,0.1,636301.5504668703,0.44601243022231934,0.44601243022231934,1.5749161198962593,False,-31407.217338988834,0.1,True
trial,6,6,5,142701.61039719306,470514.8773069415,50133.378211161995,159766.67622185266,1056,528,222,111,1056,528,4828,2414,1056000.0,4828000.0,2000.0,True,True,678,339,222,111,1056,528,0.2,708820.3563904556,-3.411951515717078,-3.411951515717078,-11.453797600540346,False,-27130.582530149557,0.2,False
trial,7,7,5,79344.12231507752,281733.1050019249,50133.378211161995,159766.67622185266,1056,528,0,0,1056,528,5884,2942,1056000.0,5884000.0,2000.0,True,True,678,339,222,111,1056,528,0.1,708820.3563904556,-1.1779229813709091,-1.1779229813709091,-4.918295093911272,False,-24798.517870768606,0.1,False
trial,8,8,8,39649.129283788854,140115.5129578379,39649.129283788854,140115.5129578379,1056,528,0,0,1056,528,6940,3470,1056000.0,6940000.0,2000.0,True,True,678,339,222,111,1056,528,0.05,708820.3563904556,0.4606835695341809,0.4606835695341809,0.8634827445129664,False,-22758.026595075367,0.05,True
trial,9,9,8,101869.3887138989,294805.0820440812,53168.527488045926,140115.5129578379,1242,621,186,93,1242,621,8182,4091,1242000.0,8182000.0,2000.0,True,True,692,346,186,93,1242,621,0.1,473361.7643711651,-1.124142541074384,-1.124142541074384,-3.5706375799777317,False,-43322.67434635806,0.1,False
trial,10,10,10,38002.02796751792,109746.08696447706,38002.02796751792,109746.08696447706,1242,621,0,0,1242,621,9424,4712,1242000.0,9424000.0,2000.0,True,True,692,346,186,93,1242,621,0.05,473361.7643711651,0.3756835073047849,0.3756835073047849,0.7522693325889941,False,-40370.4161232282,0.05,True
trial,11,11,10,90873.23985915114,218059.21759279558,50709.279477777294,109746.08696447706,1384,692,142,71,1384,692,10808,5404,1384000.0,10808000.0,2000.0,True,True,684,342,142,71,1384,692,0.1,790483.0308802837,-1.021106072730597,-1.021106072730597,-2.7536924743190703,False,-39333.77878555668,0.1,False
trial,12,12,12,42059.23760363077,93381.6549249205,42059.23760363077,93381.6549249205,1384,692,0,0,1384,692,12192,6096,1384000.0,12192000.0,2000.0,True,True,684,342,142,71,1384,692,0.05,790483.0308802837,0.2355984593027452,0.2355984593027452,0.44571286844370456,False,-36715.18862961314,0.05,True
trial,13,13,12,51892.81762192436,115067.77912046057,43350.90823238157,93381.6549249205,1452,726,68,34,1452,726,13644,6822,1452000.0,13644000.0,2000.0,True,True,688,344,68,34,1452,726,0.1,535953.4831695885,-0.22476299778117476,-0.22476299778117476,-0.5706263157522615,False,-38004.073063036136,0.1,False
trial,14,14,12,45309.24398292946,97596.81642084687,43350.90823238157,93381.6549249205,1452,726,0,0,1452,726,15096,7548,1452000.0,15096000.0,2000.0,True,True,688,344,68,34,1452,726,0.05,535953.4831695885,-0.05347734791241997,-0.05347734791241997,-0.11510572574780674,False,-36619.911551243444,0.05,False
trial,15,15,15,24700.225813210596,50464.29931270458,24700.225813210596,50464.29931270458,1452,726,0,0,1452,726,16548,8274,1452000.0,16548000.0,2000.0,True,True,688,344,68,34,1452,726,0.025,535953.4831695885,0.5650913170132338,0.5650913170132338,1.3003398192391942,False,-33004.723055644106,0.025,True
trial,16,16,15,37874.760290312755,74242.70093289255,28950.11420005345,50464.29931270458,1506,753,54,27,1506,753,18054,9027,1506000.0,18054000.0,2000.0,True,True,686,343,54,27,1506,753,0.05,1067323.8726331904,-0.41716864012235255,-0.41716864012235255,-1.1114842390224962,False,-21393.37723861931,0.05,False
trial,17,17,17,20307.309825111737,39135.99736899483,20307.309825111737,39135.99736899483,1506,753,0,0,1506,753,19560,9780,1506000.0,19560000.0,2000.0,True,True,686,343,54,27,1506,753,0.025,1067323.8726331904,0.41565042225369087,0.41565042225369087,0.544801580835505,False,-20793.445434458394,0.025,True
trial,18,18,17,37106.42021316628,69322.46011563044,23426.010752925,39135.99736899483,1584,792,78,39,1584,792,21144,10572,1584000.0,21144000.0,2000.0,True,True,690,345,78,39,1584,792,0.05,591764.59148216,-0.6839308427022498,-0.6839308427022498,-1.5091253638648356,False,-20002.62103429815,0.05,False
trial,19,19,17,24286.32718198657,39801.89702414558,23426.010752925,39135.99736899483,1584,792,0,0,1584,792,22728,11364,1584000.0,22728000.0,2000.0,True,True,690,345,78,39,1584,792,0.025,591764.59148216,-0.04542221334742836,-0.04542221334742836,-0.03515757131039496,False,-18940.433890377026,0.025,False
trial,20,20,20,12010.515456666304,18935.532849740917,12010.515456666304,18935.532849740917,1584,792,0,0,1584,792,24312,12156,1584000.0,24312000.0,2000.0,True,True,690,345,78,39,1584,792,0.0125,591764.59148216,0.7854487284744939,0.7854487284744939,1.3899028258933417,False,-14533.72433160594,0.0125,True
trial,21,21,20,13647.976978739585,23429.506417992787,12073.19351626641,18935.532849740917,1638,819,54,27,1638,819,25950,12975,1638000.0,25950000.0,2000.0,True,True,690,345,54,27,1638,819,0.025,522724.11605809996,-0.18538034561478098,-0.18538034561478098,-0.5290215404966593,False,-8494.878231296232,0.025,False
trial,22,22,22,10659.562063223291,16957.06814492833,10659.562063223291,16957.06814492833,1638,819,0,0,1638,819,27588,13794,1638000.0,27588000.0,2000.0,True,True,690,345,54,27,1638,819,0.0125,522724.11605809996,0.21099281651393928,0.21099281651393928,0.2952975045533982,False,-6699.903230827422,0.0125,True
trial,23,23,22,10774.496119579431,16903.614021347712,10681.646933520367,16957.06814492833,1660,830,22,11,1660,830,29248,14624,1660000.0,29248000.0,2000.0,True,True,688,344,22,11,1660,830,0.025,828411.8252198602,-0.010446009150075911,-0.010446009150075911,0.006013862778260812,False,-8888.48408278382,0.025,False
trial,24,24,24,9049.951710642608,14212.866942477574,9049.951710642608,14212.866942477574,1660,830,0,0,1660,830,30908,15454,1660000.0,30908000.0,2000.0,True,True,688,344,22,11,1660,830,0.0125,828411.8252198602,0.20401602400570693,0.20401602400570693,0.34311617178622206,False,-7997.877768817393,0.0125,True
trial,25,25,25,7188.318347943578,11831.284757794074,7188.318347943578,11831.284757794074,1692,846,32,16,1692,846,32600,16300,1692000.0,32600000.0,2000.0,True,True,688,344,32,16,1692,846,0.025,936921.9109702138,0.257563579737623,0.257563579737623,0.29626071291157147,False,-8038.8052849733085,0.025,True
trial,26,26,25,9326.66030320077,12179.642802214767,7202.231670971244,11831.284757794074,1712,856,20,10,1712,856,34312,17156,1712000.0,34312000.0,2000.0,True,True,686,343,20,10,1712,856,0.05,1030384.1397568445,-0.3251293756998719,-0.3251293756998719,-0.05331383308634073,False,-6534.102394336073,0.05,False
trial,27,27,27,2643.456892055532,4429.880113468488,2643.456892055532,4429.880113468488,1712,856,0,0,1712,856,36024,18012,1712000.0,36024000.0,2000.0,True,True,686,343,20,10,1712,856,0.025,1030384.1397568445,0.6980144193888527,0.6980144193888527,1.1332622066272955,False,-6531.061038691941,0.025,True
trial,28,28,27,3476.976047215556,4521.080365015763,2670.5914869818134,4429.880113468488,1744,872,32,16,1744,872,37768,18884,1744000.0,37768000.0,2000.0,True,True,690,345,32,16,1744,872,0.05,566230.3829819664,-0.35929104047804056,-0.35929104047804056,-0.040634995864481015,False,-2244.37703528827,0.04326911231651225,False
trial,29,29,29,1322.2451869928161,2037.6518505347392,1322.2451869928161,2037.6518505347392,1744,872,0,0,1744,872,39512,19756,1744000.0,39512000.0,2000.0,True,True,690,345,32,16,1744,872,0.025,566230.3829819664,0.6008140840037612,0.6008140840037612,1.0659608978303108,False,-2244.198889286617,0.024937321320669673,True
trial,30,30,30,696.5112192844921,1278.4853680623226,696.5112192844921,1278.4853680623226,1764,882,20,10,1764,882,41276,20638,1764000.0,41276000.0,2000.0,True,True,688,344,20,10,1764,882,0.05,118548.28727471364,0.697133783018262,0.697133783018262,0.8380819982028227,False,-905.8379539238023,0.025947515570317596,True
trial,31,31,30,1590.2205500898185,2342.460155639678,696.5112192844921,1278.4853680623226,1764,882,0,0,1764,882,43040,21520,1764000.0,43040000.0,2000.0,True,True,690,345,0,0,1764,882,0.025,62339.567795034454,-3.1242194781817014,-3.1242194781817014,-3.7194316329315424,False,-286.05843380935136,0.0241392040999315,False
trial,32,32,30,716.7287136160492,1318.8754881255045,696.5112192844921,1278.4853680623226,1764,882,0,0,1764,882,44804,22402,1764000.0,44804000.0,2000.0,True,True,690,345,0,0,1764,882,0.0125,62339.567795034454,-0.0707484331730906,-0.0707484331730906,-0.14133985464671853,False,-285.76596575776705,0.0125,False
trial,33,33,33,500.51710541526006,1044.0164911483744,500.51710541526006,1044.0164911483744,1764,882,0,0,1764,882,46568,23284,1764000.0,46568000.0,2000.0,True,True,690,345,0,0,1764,882,0.00625,62339.567795034454,0.7087740590508051,0.7087740590508051,0.8479104516488807,False,-276.52551806383633,0.00625,True
